date,type,subtype,sidereal_long,sign,deg_in_sign,nakshatra,pada,visible_from_bhubaneswar
2052-10-08 10:44,Lunar,Partial,351.1788,Pisces,21.1788,Revati,2,?
2053-03-04 17:20,Lunar,Penumbral,140.0937,Leo,20.0937,Purva Phalguni,3,?
2053-03-20 07:07,Solar,Annular+Central,335.5376,Pisces,5.5376,Uttara Bhadrapada,1,N
2053-08-29 08:04,Lunar,Penumbral,311.9530,Aquarius,11.9530,Shatabhisha,2,?
2053-09-12 09:32,Solar,Total+Central,145.4922,Leo,25.4922,Purva Phalguni,4,Y
2054-02-22 06:50,Lunar,Total,129.2824,Leo,9.2824,Magha,3,?
2054-03-09 12:32,Solar,Partial+Non-Central,324.5432,Aquarius,24.5432,Purva Bhadrapada,2,N
2054-08-03 18:02,Solar,Partial+Non-Central,107.0267,Cancer,17.0267,Ashlesha,1,N
2054-08-18 09:25,Lunar,Total,301.0954,Aquarius,1.0954,Dhanishta,3,?
2054-09-02 01:08,Solar,Partial+Non-Central,135.2048,Leo,15.2048,Purva Phalguni,1,N
2055-01-27 17:52,Solar,Partial+Non-Central,283.1371,Capricorn,13.1371,Shravana,1,N
2055-02-11 22:45,Lunar,Total,118.5203,Cancer,28.5203,Ashlesha,4,?
2055-07-24 09:56,Solar,Total+Central,96.8986,Cancer,6.8986,Pushya,2,N
2055-08-07 10:52,Lunar,Partial,290.2796,Capricorn,20.2796,Shravana,4,?
2056-01-16 22:15,Solar,Annular+Central,271.8710,Capricorn,1.8710,Uttara Ashadha,2,N
2056-02-01 12:24,Lunar,Penumbral,107.6258,Cancer,17.6258,Ashlesha,1,?
2056-06-27 10:01,Lunar,Penumbral,251.9867,Sagittarius,11.9867,Moola,4,?
2056-07-12 20:20,Solar,Annular+Central,86.5690,Gemini,26.5690,Punarvasu,2,N
2056-07-26 18:42,Lunar,Penumbral,279.7517,Capricorn,9.7517,Uttara Ashadha,4,?
2056-12-22 01:47,Lunar,Penumbral,66.3855,Gemini,6.3855,Mrigashira,4,?
2057-01-05 09:46,Solar,Total+Central,260.8864,Sagittarius,20.8864,Purva Ashadha,3,N
2057-06-17 02:25,Lunar,Partial,241.8316,Sagittarius,1.8316,Moola,1,?
2057-07-01 23:38,Solar,Annular+Central,75.9703,Gemini,15.9703,Ardra,3,N
2057-12-11 00:52,Lunar,Partial,54.8363,Taurus,24.8363,Mrigashira,1,?
2057-12-26 01:13,Solar,Total+Central,250.0710,Sagittarius,10.0710,Moola,4,N
2058-05-22 10:38,Solar,Partial+Non-Central,36.9458,Taurus,6.9458,Krittika,4,N
2058-06-06 19:14,Lunar,Total,231.6685,Scorpio,21.6685,Jyeshtha,2,?
2058-06-21 00:18,Solar,Partial+Non-Central,65.2603,Gemini,5.2603,Mrigashira,4,N
2058-11-16 03:21,Solar,Partial+Non-Central,209.3352,Libra,29.3352,Vishakha,3,N
2058-11-30 03:14,Lunar,Total,43.4521,Taurus,13.4521,Rohini,2,?
2059-05-11 19:20,Solar,Total+Central,26.4464,Aries,26.4464,Bharani,4,N
2059-05-27 07:54,Lunar,Partial,221.3132,Scorpio,11.3132,Anuradha,3,?
2059-11-05 09:16,Solar,Annular+Central,198.2707,Libra,18.2707,Swati,4,Y
2059-11-19 13:00,Lunar,Partial,32.4154,Taurus,2.4154,Krittika,2,?
2060-04-15 21:35,Lunar,Penumbral,182.0791,Libra,2.0791,Chitra,3,?
2060-04-30 10:08,Solar,Total+Central,16.1350,Aries,16.1350,Bharani,1,Y
2060-10-09 18:52,Lunar,Penumbral,352.6486,Pisces,22.6486,Revati,2,?
2060-10-24 09:22,Solar,Annular+Central,187.0314,Libra,7.0314,Swati,1,N
2060-11-08 04:02,Lunar,Penumbral,21.6621,Aries,21.6621,Bharani,3,?
2061-04-04 21:52,Lunar,Total,170.9722,Virgo,20.9722,Hasta,4,?
2061-04-20 02:55,Solar,Total+Central,5.8507,Aries,5.8507,Ashwini,2,Y
2061-09-29 09:36,Lunar,Total,342.0988,Pisces,12.0988,Uttara Bhadrapada,3,?
2061-10-13 10:30,Solar,Annular+Central,175.9007,Virgo,25.9007,Chitra,1,N
2062-03-11 04:24,Solar,Partial+Non-Central,326.1493,Aquarius,26.1493,Purva Bhadrapada,2,N
2062-03-25 03:32,Lunar,Total,160.0154,Virgo,10.0154,Hasta,1,?
2062-09-03 08:53,Solar,Partial+Non-Central,136.4371,Leo,16.4371,Purva Phalguni,1,Y
2062-09-18 18:32,Lunar,Total,331.3742,Pisces,1.3742,Purva Bhadrapada,4,?
2063-02-28 07:42,Solar,Annular+Central,315.0087,Aquarius,15.0087,Shatabhisha,3,Y
2063-03-14 16:04,Lunar,Partial,149.2740,Leo,29.2740,Uttara Phalguni,1,?
2063-08-24 01:20,Solar,Total+Central,126.2231,Leo,6.2231,Magha,2,Y
2063-09-07 20:39,Lunar,Penumbral,320.4372,Aquarius,20.4372,Purva Bhadrapada,1,?
2064-02-02 21:47,Lunar,Partial,109.1822,Cancer,19.1822,Ashlesha,1,?
2064-02-17 06:59,Solar,Annular+Central,303.6447,Aquarius,3.6447,Dhanishta,4,Y
2064-07-28 07:51,Lunar,Partial,281.3788,Capricorn,11.3788,Shravana,1,?
2064-08-12 17:44,Solar,Total+Central,116.0520,Cancer,26.0520,Ashlesha,3,N
2065-01-22 09:57,Lunar,Total,98.1930,Cancer,8.1930,Pushya,2,?
2065-02-05 09:51,Solar,Partial+Non-Central,292.3758,Capricorn,22.3758,Shravana,4,N
2065-07-03 17:32,Solar,Partial+Non-Central,77.5839,Gemini,17.5839,Ardra,4,N
2065-07-17 17:47,Lunar,Total,270.9578,Capricorn,0.9578,Uttara Ashadha,2,?
2065-08-02 05:32,Solar,Partial+Non-Central,105.7414,Cancer,15.7414,Pushya,4,N
2065-12-27 08:38,Solar,Partial+Non-Central,251.3563,Sagittarius,11.3563,Moola,4,N
2066-01-11 15:03,Lunar,Total,86.8810,Gemini,26.8810,Punarvasu,3,?
2066-06-22 19:24,Solar,Annular+Central,66.9250,Gemini,6.9250,Ardra,1,N
2066-07-07 09:29,Lunar,Partial,260.7748,Sagittarius,20.7748,Purva Ashadha,3,?
2066-12-17 00:22,Solar,Total+Central,240.5612,Sagittarius,0.5612,Moola,1,N
2066-12-31 14:28,Lunar,Penumbral,75.3251,Gemini,15.3251,Ardra,3,?
2067-05-28 18:54,Lunar,Penumbral,222.8664,Scorpio,12.8664,Anuradha,3,?
2067-06-11 20:41,Solar,Annular+Central,56.2298,Taurus,26.2298,Mrigashira,1,N
2067-06-27 02:39,Lunar,Penumbral,250.6596,Sagittarius,10.6596,Moola,4,?
2067-11-21 00:03,Lunar,Penumbral,34.0345,Taurus,4.0345,Krittika,3,?
2067-12-06 14:02,Solar,Annular-Total+Central,229.6968,Scorpio,19.6968,Jyeshtha,1,N
2068-05-17 05:40,Lunar,Partial,212.4013,Scorpio,2.4013,Vishakha,4,?
2068-05-31 03:55,Solar,Total+Central,45.7403,Taurus,15.7403,Rohini,2,N
2068-11-09 11:45,Lunar,Total,23.1299,Aries,23.1299,Bharani,3,?
2068-11-24 21:31,Solar,Partial+Non-Central,218.6119,Scorpio,8.6119,Anuradha,2,N
2069-04-21 10:09,Solar,Partial+Non-Central,7.0783,Aries,7.0783,Ashwini,3,N
